Variables,Coefficients,Lower_CI,Upper_CI
Intercept,4.7270349029294,4.590110075674231,4.86395973018457
C(Gender)[T.M],0.6611756021063259,0.6556435209277547,0.666707683284897
C(Gender)[T.T],0.3777220738843891,0.372189992705818,0.38325415506296023
Spending_centered,1.8368762155540466e-05,1.5219814365013336e-05,2.1517709946067596e-05
C(Gender)[T.M]:Spending_centered,-3.5269248388763954e-05,-3.9652121157279094e-05,-3.0886375620248815e-05
C(Gender)[T.T]:Spending_centered,-1.9827851792252243e-05,-2.4210724560767386e-05,-1.54449790237371e-05
Year_centered,-0.006735335125604682,-0.007479414565918611,-0.005991255685290754
Group Var,0.795717409669363,0.408651049186751,1.182783770151975
