Variables,Coefficients,Lower_CI,Upper_CI
Intercept,4.709049061694135,4.589277197839548,4.828820925548722
C(Gender)[T.M],0.6611756021063164,0.5888259387598319,0.733525265452801
C(Gender)[T.T],0.37772207388437384,0.3363757022645733,0.4190684455041744
Spending_centered,-4.8423717802522066e-05,-7.683636097066187e-05,-2.0011074634382264e-05
C(Gender)[T.M]:Spending_centered,-3.526924838416114e-05,-4.9394841809006124e-05,-2.1143654959316166e-05
C(Gender)[T.T]:Spending_centered,-1.9827851796684204e-05,-2.7571541112494263e-05,-1.2084162480874144e-05
Year_centered,-0.0006656107053690727,-0.008620308070701934,0.007289086659963789
